index;title;score;type;categories;most relevant words
101;Aleister Crowley;27;person;Aleister Crowley, Okkultist, Rosenkreuzer, Thelemit, Person des Neopaganismus, Person (Tarot), Autor, Literatur (Englisch), Literatur (20. Jahrhundert), Sachliteratur (Esoterik), Bergsteiger (Vereinigtes Königreich), Schachkomponist, Engländer, Brite, Geboren 1875, Gestorben 1947, Mann;crowley, crowleys, aleister, ref, isbn, buch, liber, thelema, o.t.o, golden, dawn, legis, jahren, satanismus, sei, kategorie, name, england, deutsch, abtei
105;Anne Haigis;6;person;Popsänger, Musiker (Deutschland), Person (Bonn), Deutscher, Geboren 1955, Frau;haigis, kategorie, anne, bonn, deutsch, mini|anne, dezember, rottweil, musikerin, sängerin, leben, karriere, veröffentlichte, anfang, er-jahre, jazzorientierte, alben, englischen, texten, musiklabel
112;Augustus;18;person;Kaiser (Rom), Konsul (Römische Republik), Zensor, Augur, Julier, Octavier, Römischer Mäzen, Geboren 63 v. Chr., Gestorben 14, Person im Neuen Testament, Mann, Augustus, Herrscher (1. Jahrhundert);augustus, chr., octavian, jahr, rom, antonius, caesar, isbn, gaius, kaiser, senat, zeit, princeps, jahre, macht, republik, römischen, caesars, tiberius, provinzen
115;Arthur Schopenhauer;12;person;Philosoph (19. Jahrhundert), Moralphilosoph, Kantianer, Autor, Hochschullehrer (Humboldt-Universität zu Berlin), Schriftsteller (Frankfurt am Main), Vertreter des Atheismus, Sprachkritik, Aphoristiker, Literatur (Neulatein), Person (Königlich-Preußen), Person (Danzig), Arthur Schopenhauer, Deutscher, Geboren 1788, Gestorben 1860, Mann;schopenhauer, isbn, schopenhauers, welt, arthur, philosophie, wille, vorstellung, willens, berlin, münchen, kategorie, frankfurt, auflage, willen, verlag, lehre, friedrich, ueber, mensch
117;Aemilianus (Kaiser);6;person;Kaiser (Rom), Geboren im 3. Jahrhundert, Gestorben 253, Mann, Herrscher (3. Jahrhundert);aemilianus, kaiser, gallus, soldaten, kategorie, rom, valerian, kniva, jedoch, heer, truppen, senat, kurz, djerba, supera, zonaras, sieg, versprach, goten, sichern
118;Aurelian;6;person;Aurelian, Kaiser (Rom), Militärperson (Römische Kaiserzeit), Herrscher (3. Jahrhundert), Domitier, Geboren 214, Gestorben 275, Mann, Imperium Galliarum;aurelian, jahr, kategorie, kaiser, aurelians, rom, römischen, claudius, reich, palmyra, angeblich, italien, imperium, zenobia, kam, isbn, aurelianus, konnte, osten, begann
121;Andrei Dmitrijewitsch Linde;6;person;Astronom (20. Jahrhundert), Astronom (21. Jahrhundert), Physiker (20. Jahrhundert), Physiker (21. Jahrhundert), Astrophysiker, Hochschullehrer (Stanford University), Hochschullehrer (Moskau), Person (CERN), Mitglied der National Academy of Sciences, Mitglied der American Academy of Arts and Sciences, Mitglied der Norwegischen Akademie der Wissenschaften, Russe, Sowjetbürger, Geboren 1948, Mann, Mitglied der Akademie der Wissenschaften in Hamburg;kategorie, linde, mitglied, inflationstheorie, academy, sciences, jahrhundert, andrei, moskau, physik, stanford, inflation, akademie, wissenschaften, dmitrijewitsch, russischer, dmitri, arbeitete, professor, cern
123;Adolf Hitler;30;person;Adolf Hitler, Mitglied der Familie Hitler, Reichskanzler (Deutsches Reich, 1933–1945), Reichspräsident (Deutsches Reich, 1933–1945), Träger des Goldenen Parteiabzeichens der NSDAP, DAP-Mitglied, NSDAP-Mitglied, Teilnehmer am Hitlerputsch, Täter des Holocaust, Täter des Porajmos, Person (Aktion T4), Verurteilte Person, Reichstagsabgeordneter (Weimarer Republik), Reichstagsabgeordneter (Deutsches Reich, 1933–1945), Parteivorsitzender (Deutschland), Militärperson im Nationalsozialismus, Oberbefehlshaber des Heeres (Heer der Wehrmacht), Autor (Antisemitismus), Person im Ersten Weltkrieg (Deutsches Reich), Träger des Eisernen Kreuzes I. Klasse, Person (österreichische Geschichte), Person (Braunau am Inn), Person (Cisleithanien), Österreicher, Staatenloser, Deutscher, Geboren 1889, Gestorben 1945, Mann, Regierungsrat, Beamter (Deutschland);hitler, hitlers, münchen, nsdap, isbn, september, ließ, juden, märz, juli, april, deutschen, januar, november, august, sei, oktober, adolf, krieg, deutschland
126;Arcadius;6;person;Arcadius, Kaiser (Rom), Kaiser (Byzanz), Theodosianische Dynastie, Herrscher (4. Jahrhundert), Herrscher (5. Jahrhundert), Geboren im 4. Jahrhundert, Gestorben 408, Mann;arcadius, kategorie, kaiser, theodosius, westen, rufinus, stilicho, augustus, berater, honorius, seit, osten, tod, kam, gainas, konstantinopel, herrscher, reiches, worden, hof
128;Avitus;6;person;Weströmischer Heermeister, Bischof (5. Jahrhundert), Galloromane, Kaiser (Rom), Patricius (Westrom), Prätorianerpräfekt, Gallorömischer Senatsadel, Person (Piacenza), Geboren im 4. Jahrhundert, Gestorben 457, Mann;avitus, kaiser, kategorie, gallien, italien, aetius, westgoten, heermeister, westgotischen, truppen, rom, römischen, iii, theoderich, valentinian, senatoren, geiserich, bd., isbn, prätorianerpräfekt
130;Agatha Christie;27;person;Agatha Christie, Autor, Literatur (20. Jahrhundert), Literatur (Englisch), Literatur (Vereinigtes Königreich), Kriminalliteratur, Roman, Epik, Erzählung, Drama, Autobiografie, Dame Commander des Order of the British Empire, Namensgeber für einen Venuskrater, Engländer, Brite, Geboren 1890, Gestorben 1976, Frau;christie, agatha, christies, romane, kategorie, roman, isbn, miller, poirot, jahre, mord, hercule, ref, spielt, schriftstellerin, miss, marple, leben, zeit, tod
139;Alfred Nobel;9;person;Chemiker (19. Jahrhundert), Erfinder, Unternehmer (19. Jahrhundert), Unternehmer (Chemische Industrie), Industrieller, Unternehmer (Schweden), Person (Nobelpreis), Mäzen, Mitglied der Königlich Schwedischen Akademie der Wissenschaften, Alfred Nobel, Namensgeber für ein chemisches Element, Schwede, Geboren 1833, Gestorben 1896, Mann;nobel, alfred, nobels, kategorie, nitroglycerin, stockholm, jahr, stiftung, hess, isbn, jedoch, bertha, suttner, sanremo, kam, akademie, nobelpreis, sowie, leben, vater
146;Adam Ries;6;person;Mathematiker (16. Jahrhundert), Rechenmeister, Person (Annaberg-Buchholz), Literatur (16. Jahrhundert), Literatur (Deutsch), Person als Namensgeber für einen Asteroiden, Deutscher, Geboren im 15. Jahrhundert, Gestorben 1559, Mann;ries, adam, isbn, annaberg-buchholz, leipzig, auff, kategorie, riese, staffelstein, erfurt, schriften, hrsg, annaberg, rechenmeister, coß, leben, annaberger, adam-ries-bund, adam-ries-bundes, bd.
152;André-Marie Ampère;12;person;André-Marie Ampère, Mathematiker (19. Jahrhundert), Physiker (19. Jahrhundert), Chemiker (19. Jahrhundert), Persönlichkeit der Elektrotechnik, Hochschullehrer (Collège de France), Hochschullehrer (École polytechnique), Mitglied der Société philomathique de Paris, Mitglied der Académie des sciences, Mitglied der Königlich Schwedischen Akademie der Wissenschaften, Auswärtiges Mitglied der Royal Society, Mitglied der Preußischen Akademie der Wissenschaften, Ehrenmitglied der Russischen Akademie der Wissenschaften, Mitglied der Royal Society of Edinburgh, Person (Lyon), Franzose, Geboren 1775, Gestorben 1836, Mann;ampère, kategorie, paris, lyon, andré-marie, mitglied, elektrodynamik, wissenschaften, isbn, jahre, akademie, arbeiten, elektrischen, internet-archiv, benannt, jean-jacques, mathematik, jahr, ampères, online
156;Anders Celsius;9;person;Anders Celsius, Astronom (18. Jahrhundert), Physiker (18. Jahrhundert), Hochschullehrer (Universität Uppsala), Rektor (Universität Uppsala), Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Mitglied der Königlich Schwedischen Akademie der Wissenschaften, Mitglied der Leopoldina (18. Jahrhundert), Mitglied der Preußischen Akademie der Wissenschaften, Mitglied der Königlichen Gesellschaft der Wissenschaften in Uppsala, Mitglied der Royal Society, Schwede, Geboren 1701, Gestorben 1744, Mann;celsius, kategorie, uppsala, mitglied, universität, wissenschaften, skala, isbn, akademie, namensgeber, jahrhundert, /sup, astronom, physiker, leopoldina, preußischen, rektor, form, erde, literatur
158;Annette von Droste-Hülshoff;12;person;Annette von Droste-Hülshoff, Autor, Biedermeier (Literatur), Literatur (19. Jahrhundert), Literatur (Deutsch), Lyrik, Novelle, Brief (Literatur), Komponist (Romantik), Komponist (Deutschland), Westfälische Kunst, Schriftsteller (Münster), Person (Meersburg), Person als Namensgeber für einen Asteroiden, Freiherr (Droste zu Hülshoff), Droste zu Hülshoff, Deutscher, Geboren 1797, Gestorben 1848, Frau;annette, droste-hülshoff, isbn, droste, hülshoff, dichterin, meersburg, hrsg, münster, familie, kategorie, burg, musik, mutter, ref, leben, schwester, literatur, werk, werke
160;Albrecht (Preußen);6;person;Herzog (Preußen), Hochmeister des Deutschen Ordens, Person in der Grafenfehde, Person des evangelischen Namenkalenders, Reformator, Autor, Literatur (16. Jahrhundert), Herrscher (16. Jahrhundert), Literatur (Deutsch), Kirchenlieddichter, Hohenzoller (Linie Brandenburg-Ansbach-Kulmbach), Geboren 1490, Gestorben 1568, Mann, Albrecht (Preußen), Bibliophiler;albrecht, herzog, preußen, königsberg, nr., kategorie, albrechts, gedruckt, osianders, johann, hochmeister, deutschen, herzogtum, quellen, albrechten, brandenburg-ansbach, friedrich, sigismund, osiander, gott
164;Alexander Fleming;9;person;Alexander Fleming, Bakteriologe, Mediziner (20. Jahrhundert), Erfinder, Pharmakologe, Freimaurer (Vereinigtes Königreich), Freimaurer (19. Jahrhundert), Freimaurer (20. Jahrhundert), Nobelpreisträger für Physiologie oder Medizin, Knight Bachelor, Mitglied der Päpstlichen Akademie der Wissenschaften, Mitglied der Royal Society, Mitglied der Ehrenlegion (Kommandeur), Mitglied der Königlich Niederländischen Akademie der Wissenschaften, Mitglied der Académie des sciences, Mitglied der Royal Society of Edinburgh, Ehrendoktor der Universität Graz, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Schotte, Brite, Geboren 1881, Gestorben 1955, Mann;fleming, kategorie, alexander, mitglied, london, freimaurer, penicillin, society, sir, märz, mediziner, verschiedenen, leben, flemings, medizin, universität, edinburgh, royal, vater, benannt
199;Ada Lovelace;18;person;Ada Lovelace, Mathematiker (19. Jahrhundert), Informatiker, Erfinder, Computerpionier, Britischer Adliger, George Gordon Byron, Charles Babbage, Engländer, Brite, Geboren 1815, Gestorben 1852, Frau;ada, lovelace, byron, ref, maschine, kategorie, babbage, dorner, isbn, frauen, babbages, jahren, notes, charles, engine, lord, computer, analytical, ersten, mathematik
202;Alexandre Dumas der Jüngere;9;person;Alexandre Dumas der Jüngere, Autor, Literatur (19. Jahrhundert), Literatur (Französisch), Literatur (Frankreich), Drama, Roman, Epik, Mitglied der Académie française, Mitglied der Ehrenlegion (Großoffizier), Alexandre Dumas der Ältere, Franzose, Geboren 1824, Gestorben 1895, Mann;dumas, kategorie, roman, kameliendame, femmes, alexandre, literatur, fils, camélias, gesellschaftlichen, les, jahr, mitglied, aux, femme, dame, paris, november, marly-le-roi, dichter
208;Andreas Vesalius;9;person;Anatom, Mediziner (16. Jahrhundert), Hochschullehrer (Universität Padua), Geboren 1514, Gestorben 1564, Mann, Person als Namensgeber für einen Asteroiden;vesalius, andreas, vesal, humani, fabrica, basel, corporis, anatomie, galen, fabrica, kategorie, universität, brüssel, worden, libri, septem, isbn, jan, stephan, calcar
221;Ariel Scharon;9;person;Ariel Scharon, Premierminister (Israel), Außenminister (Israel), Einwandererminister (Israel), Gesundheitsminister (Israel), Innenminister (Israel), Kommunikationsminister (Israel), Landwirtschaftsminister (Israel), Religionsminister (Israel), Verkehrsminister (Israel), Verteidigungsminister (Israel), Wohlfahrtsminister (Israel), Wohnungsbauminister (Israel), Parteivorsitzender (Israel), Knesset-Abgeordneter, Kadima-Mitglied, Likud-Mitglied, Generalmajor (Israel), Fallschirmjäger (Israel), Person (Hagana), Person im Nahostkonflikt, Person im Palästinakrieg, Person im Sechstagekrieg, Person im Jom-Kippur-Krieg, Ehrendoktor der Bar-Ilan-Universität, Ramat Gan, Israeli, Geboren 1928, Gestorben 2014, Mann, Absolvent der Universität Tel Aviv;scharon, kategorie, israel, scharons, ariel, israelischen, januar, jedoch, jahr, zeit, israelische, kommandeur, verteidigungsminister, likud, militärischen, israels, armee, tel, ernannt, ende
233;Achim von Arnim;6;person;Arnim, Achim von Arnim, Autor, Dichterjurist, Literatur (19. Jahrhundert), Literatur (Deutsch), Drama, Lyrik, Roman, Epik, Volksliedsammler und -forscher, Bettina von Arnim, Deutscher, Geboren 1781, Gestorben 1831, Mann;arnim, isbn, achim, arnims, brentano, berlin, kategorie, ludwig, goethe, bettina, berliner, hrsg, wiepersdorf, clemens, romantik, band, literatur, arnim-gesellschaft, frankfurt, wunderhorn
238;Alessandro Volta;9;person;Alessandro Volta, Batterieentwickler, Physiker (18. Jahrhundert), Ingenieur, Erfinder, Konstrukteur (18. Jahrhundert), Hochschullehrer (Universität Pavia), Träger der Copley-Medaille, Mitglied der Ehrenlegion (Ritter), Mitglied der Königlich Niederländischen Akademie der Wissenschaften, Auswärtiges Mitglied der Royal Society, Mitglied der Preußischen Akademie der Wissenschaften, Mitglied der Akademie der Wissenschaften zu Göttingen, Mitglied der Bayerischen Akademie der Wissenschaften, Mitglied der Académie des sciences, Mitglied der Royal Society of Edinburgh, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Historische Person (Italien), Person (Como), Geboren 1745, Gestorben 1827, Mann;volta, kategorie, mitglied, alessandro, como, batterie, wissenschaften, erfindung, akademie, royal, society, napoleon, isbn, physiker, elektrizität, art, jahrhundert, voltas, giuseppe, antonio
240;Antoni van Leeuwenhoek;6;person;Optiker, Persönlichkeit der Lichtmikroskopie, Mitglied der Royal Society, Korrespondierendes Mitglied der Académie des sciences, Person als Namensgeber für einen Asteroiden, Niederländer, Geboren 1632, Gestorben 1723, Mann, Biophysiker, Physiker (17. Jahrhundert), Physiker (18. Jahrhundert), Namensgeber für einen Mondkrater;leeuwenhoek, kategorie, mikroskope, delft, antony, linsen, jedoch, royal, society, mitglied, leewenhoeck, jan, antoni, leeuwenhoeks, vermeer, phil, trans, volltext, isbn, tod
244;André Gide;18;person;André Gide, Nobelpreisträger für Literatur, Autor, Symbolismus (Literatur), Literatur (19. Jahrhundert), Literatur (20. Jahrhundert), Literatur (Französisch), Literatur (Frankreich), Homosexualität in der Literatur, Roman, Epik, Erzählung, Novelle, Essay, Drama, Librettist, Tagebuch, Filmproduzent, Schriftsteller (Paris), Mitglied der American Academy of Arts and Letters, Franzose, Geboren 1869, Gestorben 1951, Mann;gide, andré, gides, jahr, kategorie, seit, paris, werk, ersten, literatur, buch, les, zeit, walter, tagebuch, erzählung, ‚die, band, erschien, madeleine
266;Anaximander;6;person;Vorsokratiker, Astronom der Antike, Namensgeber für einen Mondkrater, Person (Milet), Grieche (Antike), Geboren im 7. Jahrhundert v. Chr., Gestorben im 6. Jahrhundert, Mann, Person als Namensgeber für einen Asteroiden;anaximander, sei, kategorie, philosophie, erde, isbn, apeiron, seele, hrsg, band, thales, kosmos, leben, vorsokratiker, anaximanders, chr., milet, werk, feuchten, lebewesen
282;Aššur-nâṣir-apli II.;6;person;König (Assyrien), Geboren im 10. Jahrhundert v. Chr., Gestorben im 9. Jahrhundert v. Chr., Mann;aššur-nâṣir-apli, kategorie, kalḫu, cambridge, mini|aššur-nâṣir-apli, museum, könig, sohn, führte, aramäer, beschrieben, jahrhundert, chr., stele, britischen, london, löwenjagd, relief, vorderasiatischen, berlin
289;Asta Nielsen;9;person;Stummfilmschauspieler, Filmschauspieler, Träger des Deutschen Filmpreises, Darstellender Künstler (Deutschland), Autobiografie, Däne, Geboren 1881, Gestorben 1972, Frau;nielsen, asta, kategorie, berlin, kopenhagen, theater, kinothek, isbn, mini|asta, heiratete, kinos, frauen, hamlet, leben, tochter, film, urban, gad, deutschland, deutschen
301;Alexander Graham Bell;12;person;Alexander Graham Bell, Erfinder (Sprechmaschinen), Unternehmer (Elektrotechnik), Person (Gehörlosenpädagogik), Eugeniker, National Geographic Society, Mitglied der Leopoldina (19. Jahrhundert), Mitglied der American Academy of Arts and Sciences, Mitglied der National Academy of Sciences, Mitglied der American Philosophical Society, Namensgeber für einen Mondkrater, Wikipedia:Artikel mit Video, Brite, US-Amerikaner, Geboren 1847, Gestorben 1922, Mann;bell, alexander, graham, ref, kategorie, company, american, telephone, telefon, erfindung, bells, erfinder, konnte, reis, thomas, erste, hubbard, national, mitglied, meucci
302;Abu Nidal;6;person;Attentäter, Person im Nahostkonflikt, Palästinenser, Inoffizieller Mitarbeiter des Ministeriums für Staatssicherheit, Geboren 1937, Gestorben 2002, Mann;abu, nidal, attentat, anschlag, august, rom, jordanien, getötet, dezember, kategorie, fatah, jordanischen, diplomaten, verletzt, fluggesellschaft, plo, nidals, könig, hussein, september
314;Bruce Willis;12;person;Filmschauspieler, US-Amerikaner, Popsänger, Emmy-Preisträger, Golden-Globe-Preisträger, Träger des Ordre des Arts et des Lettres (Komtur), Person (Idar-Oberstein), Geboren 1955, Mann;willis, kategorie, bruce, bester, stirb, langsam, mini|bruce, idar-oberstein, schauspieler, model, schnüffler, filmen, hollywood, new, emmy, scout, weitere, sei, awards, hauptdarsteller
320;Richard Buckminster Fuller;9;person;Richard Buckminster Fuller, Architekt (Vereinigte Staaten), Industriedesigner, Autor, Literatur (20. Jahrhundert), Literatur (Englisch), Literatur (Vereinigte Staaten), Sachliteratur, Designkritiker, Tagebuch, Hochschullehrer (Southern Illinois University Carbondale), Mitglied der American Academy of Arts and Letters, Mitglied der American Academy of Arts and Sciences, Träger der Presidential Medal of Freedom, US-Amerikaner, Geboren 1895, Gestorben 1983, Mann;fuller, buckminster, kategorie, isbn, new, york, american, press, academy, university, kunst, hrsg, richard, bucky, leben, jahren, menschheit, mitglied, arts, literatur
325;Billy Wilder;27;person;Billy Wilder, Autor, Person (Stummfilm), Drehbuchautor, Filmregisseur, Literatur (20. Jahrhundert), Literatur (Deutsch), Literatur (Englisch), Freimaurer (20. Jahrhundert), Freimaurer (21. Jahrhundert), Träger des Deutschen Filmpreises, Träger des Europäischen Filmpreises, Träger des Großen Bundesverdienstkreuzes mit Stern, Träger des Großen Goldenen Ehrenzeichens für Verdienste um die Republik Österreich, Träger der Ehrenmedaille der Bundeshauptstadt Wien in Gold, Träger des Großen Österreichischen Staatspreises, Mitglied der American Academy of Arts and Letters, Österreichischer Emigrant zur Zeit des Nationalsozialismus, Oscarpreisträger, Golden-Globe-Preisträger, Ehrenbürger von Wien, Österreichischer Emigrant in den Vereinigten Staaten, Person (Cisleithanien), Österreicher, US-Amerikaner, Geboren 1906, Gestorben 2002, Mann;wilder, billy, kategorie, film, boulevard, isbn, award, mögen, heiß, appartement, wien, berlin, regie, dämmerung, filme, besten, wilders, beste, regisseur, eins
326;Barry Levinson;18;person;Barry Levinson, Filmregisseur, Drehbuchautor, Oscarpreisträger, US-Amerikaner, Geboren 1942, Mann;regie, levinson, diner, barry, kategorie, rain, american, mel, brooks, baltimore, avalon, oscar, sphere, all, tin, men, hollywood, wag, dog, year
327;Bernardo Bertolucci;21;person;Bernardo Bertolucci, Filmregisseur, Drehbuchautor, PCI-Mitglied, Oscarpreisträger, Golden-Globe-Preisträger, Träger des Europäischen Filmpreises, Träger des Verdienstordens der Italienischen Republik (Großoffizier), Person (Parma), Italiener, Geboren 1941, Gestorben 2018, Mann;bertolucci, ref, film, bernardo, letzte, filme, kaiser, name, werk, bertoluccis, jahre, bb_racc, sei, kategorie, paris, jahren, regie, beste, große, gérard
345;Benoît Mandelbrot;9;person;Finanzmathematiker, Mathematiker (20. Jahrhundert), Autor, Hochschullehrer (Yale University), Träger des Japan-Preises, IBM Fellow, Mitglied der Norwegischen Akademie der Wissenschaften, Mitglied der Ehrenlegion (Offizier), Fellow der American Physical Society, Mitglied der American Academy of Arts and Sciences, Mitglied der National Academy of Sciences, Mitglied der American Philosophical Society, Ehrendoktor der Johns Hopkins University, Ehrendoktor der University of St Andrews, Litauer, US-Amerikaner, Franzose, Pole, Geboren 1924, Gestorben 2010, Mann;mandelbrot, kategorie, ref, mathematik, university, fraktale, geometrie, name, ibm, sciences, buch, american, mitglied, mathematiker, probleme, vater, fraktalen, yale, national, institute
352;Brian Eno;15;person;Popmusiker, Elektronische Lounge- und Ambient-Musik, Synthesizerspieler, Roxy Music, Musikproduzent, Grammy-Preisträger, Person als Namensgeber für einen Asteroiden, Brite, Geboren 1948, Mann;eno, music, brian, album, kategorie, peter, david, soundtrack, fripp, robert, zusammen, musiker, roxy, enos, ambient, talking, heads, titel, films, art
356;Bill Murray;12;person;Filmschauspieler, Emmy-Preisträger, Golden-Globe-Preisträger, US-Amerikaner, Geboren 1950, Mann;murray, bill, film, ghostbusters, kategorie, lost, zombieland, stimme, bester, schauspieler, jahr, saturday, night, live, jahre, city, translation, fernsehfilm, garfield, award
357;Billy Bob Thornton;15;person;Oscarpreisträger, Golden-Globe-Preisträger, Drehbuchautor, Filmregisseur, Musiker (Vereinigte Staaten), Filmschauspieler, US-Amerikaner, Geboren 1955, Mann, Angelina Jolie;kategorie, bester, thornton, nominierung, hauptdarsteller, bob, sling, blade, boxmasters, verheiratet, records, billy, schauspieler, messers, schneide, door, fargo, schauspielerin, paar, angelina
380;Bettina von Arnim;15;person;Person um Ludwig van Beethoven, Arnim, Autor, Literatur (19. Jahrhundert), Literatur (Deutsch), Roman, Epik, Tagebuch, Brief (Literatur), Menschenrechtsaktivist (Deutschland), Salonnière, Achim von Arnim, Clemens Brentano, Vormärz (Literatur), Bettina von Arnim, Person (Marburg), Person (Fritzlar), Person um Felix Mendelssohn Bartholdy, Brentano, Deutscher, Geboren 1785, Gestorben 1859, Frau;bettina, arnim, berlin, isbn, kategorie, bettine, brentano, arnims, briefwechsel, achim, goethe, briefe, beethoven, hrsg, band, frankfurt, friedrich, main, werke, buch
381;Belle Boyd;6;person;Nachrichtendienstliche Person (Vereinigte Staaten), Agent (Nachrichtendienst), US-Amerikaner, Geboren 1844, Gestorben 1900, Frau;belle, ref, boyd, markle, spies, name, südstaaten, kane, thomas, jackson, donald, markle, spymasters, civil, barnes, nobles, kategorie, virginia, prison, staaten
388;Bonaventura Cavalieri;6;person;Astronom (17. Jahrhundert), Mathematiker (17. Jahrhundert), Hochschullehrer (Universität Bologna), Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Person (Religion, Mailand), Historische Person (Italien), Geboren 1598, Gestorben 1647, Mann;kategorie, cavalieri, prinzip, bologna, mathematiker, unendlichen, zahl, person, bonaventura, mailand, cavalerius, astronom, universität, oberflächen, körper, neu, werke, ricci, torricelli, geometria
392;Björk;9;person;Björk, Songwriter, Weltmusik-Sänger, Singer-Songwriter, Fusion-Musiker, Feministische Kunst, Person (Reykjavík), Musiker (Island), Träger des Europäischen Filmpreises, Träger des Falkenordens (Ritter), Robert-Preisträger, Isländer, Geboren 1965, Frau;björk, album, kategorie, konzerte, europa, island, tour, erschien, regie, musik, festival, film, reykjavík, lied, jahr, zusammen, kukl, sugarcubes, veröffentlicht, nordamerika
425;B. Traven;24;person;Autor, Literatur (20. Jahrhundert), Literatur (Deutsch), Erzählung, Roman, Epik, Abenteuerroman, Pseudonym, Person des Anarchismus, B. Traven, Auswanderer aus Deutschland, Gewerkschafter (Deutschland), Person (Münchner Geschichte), Person der Novemberrevolution, Herausgeber, Mexikaner, Deutscher, Geboren 1882, Gestorben 1969, Mann;traven, travens, ref, marut, mexiko, sei, ret, croves, isbn, büchergilde, torsvan, helen, gutenberg, hal, name, kategorie, totenschiff, roman, bücher, berlin
436;Bata Illic;6;person;Musiker (Deutschland), Teilnehmer an Ich bin ein Star – Holt mich hier raus!, Musiker (Jugoslawien), Schlagersänger, Deutscher, Jugoslawe, Geboren 1939, Mann;illic, kategorie, bata, augen, liebeslied, liebe, schlagersänger, michaela, album, mädchen, musiker, triphan, band, jahr, erste, lebe, seit, sand, schuhen, hawaii
437;Bernhard Grzimek;15;person;Bernhard Grzimek, Zoodirektor, Tierarzt, Mediziner (20. Jahrhundert), Verhaltensforscher, Fernsehmoderator (Deutschland), Person (Hessischer Rundfunk), Naturschützer, Oscarpreisträger, Dokumentarfilmer, Träger des Großen Bundesverdienstkreuzes mit Stern, Ehrendoktor der Humboldt-Universität zu Berlin, Sachliteratur, Literatur (20. Jahrhundert), Literatur (Deutsch), Korporierter im CV, SA-Mitglied, NSDAP-Mitglied, Person (Frankfurt am Main), Person (Schlesien), Person (Bund für Umwelt und Naturschutz Deutschland), Frankfurt am Main im 20. Jahrhundert, Deutscher, Geboren 1909, Gestorben 1987, Mann;grzimek, kategorie, tiere, bernhard, frankfurt, frankfurter, michael, berlin, main, grzimeks, zoo, ref, platz, serengeti, jahre, isbn, april, märz, sewig, ende
447;Buddy Holly;21;person;Rock-’n’-Roll-Musiker, Rocksänger, Songwriter, Rockabilly-Musiker, Pseudonym, Rock and Roll Hall of Fame, US-Amerikaner, Geboren 1936, Gestorben 1959, Mann, Unfallopfer (Flugverkehr);holly, buddy, hollys, love, that, day, studio, decca, you, aufnahmen, titel, kategorie, records, sue, peggy, stücke, veröffentlicht, crickets, album, rock
469;Blaise Pascal;18;person;Blaise Pascal, Mathematiker (17. Jahrhundert), Physiker (17. Jahrhundert), Erfinder, Logiker, Philosoph der Frühen Neuzeit, Römisch-katholischer Theologe (17. Jahrhundert), Philosoph (17. Jahrhundert), Christlicher Philosoph, Literatur (Französisch), Literatur (Frankreich), Rationalist, Essay, Aphoristiker, Person des Jansenismus, Universalgelehrter, Strömungsmechaniker, Person des evangelischen Namenkalenders, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Franzose, Geboren 1623, Gestorben 1662, Mann;pascal, kategorie, pascals, paris, vater, blaise, pensées, laf, pariser, jesuiten, leben, sowie, jacqueline, literatur, menschen, gott, sur, später, religion, allerdings
540;Catherine Deneuve;27;person;Filmschauspieler, Pseudonym, César-Preisträger, Träger des Europäischen Filmpreises, UNESCO-Sonderbotschafter, Darstellender Künstler (Paris), Playboy-Model, Mitglied der Ehrenlegion, Franzose, Geboren 1943, Frau;deneuve, catherine, spielte, kategorie, frauen, arte, film, nominiert, beste, hauptdarstellerin, dorléac, ref, sehen, jahren, rolle, regie, indochine, französischen, beste, césar
542;Claude Lelouch;15;person;Autor, Drehbuchautor, Filmproduzent, Filmregisseur, Literatur (20. Jahrhundert), Literatur (Französisch), Filmschauspieler, Oscarpreisträger, Mitglied der Ehrenlegion, Franzose, Geboren 1937, Mann;kategorie, lelouch, claude, mann, les, leben, frau, film, vie, une, jahre, homme, liebe, erhielt, était, autre, robert, pour, filmregisseur, drehbuchautor
543;Clint Eastwood;24;person;Oscarpreisträger, Golden-Globe-Preisträger, César-Preisträger, Filmschauspieler, Filmregisseur, Filmproduzent, Filmkomponist, Bürgermeister (Carmel-by-the-Sea), Träger des Ordens der Aufgehenden Sonne, Träger des Ordre des Arts et des Lettres (Komtur), Mitglied der American Academy of Arts and Sciences, Mitglied der Ehrenlegion (Kommandeur), Mitglied der Republikanischen Partei (Vereinigte Staaten), Person des Libertarismus, US-Amerikaner, Geboren 1930, Mann, Clint Eastwood;eastwood, film, regie, clint, dollar, besten, beste, kategorie, regisseur, million, baby, spielte, rolle, jahre, schauspieler, erbarmungslos, sehen, mystic, river, western
