index;title;score;type;categories;most relevant words
679;David Fincher;24;person;Filmproduzent, Filmregisseur, Filmschauspieler, Spezialeffektkünstler, Golden-Globe-Preisträger, Träger des Kurd-Laßwitz-Preises, US-Amerikaner, Person (Denver), Geboren 1962, Mann;fincher, kategorie, ref, regie, beste, nominierung, david, girl, award, george, michael, madonna, film, benjamin, button, social, network, house, cards, gone
685;David Cronenberg;21;person;Filmregisseur, Drehbuchautor, Filmproduzent, Companion des Order of Canada, Mitglied der Ehrenlegion (Ritter), Träger des Ordre des Arts et des Lettres (Ritter), Träger des Order of Ontario, Mitglied der Royal Society of Canada, Person des Judentums (Kanada), Kanadier, Geboren 1943, Mann, Träger des British Fantasy Awards;film, award, cronenberg, beste, bester, kategorie, regie, history, violence, critics, awards, naked, lunch, eastern, promises, festival, toronto, tödliche, versprechen, canada
686;David Lynch;27;person;David Lynch, Filmregisseur, Filmschauspieler, Drehbuchautor, Mitglied der Ehrenlegion (Offizier), Maler (Vereinigte Staaten), Person als Namensgeber für einen Asteroiden, Kaiserringträger der Stadt Goslar, US-Amerikaner, Geboren 1946, Mann;lynch, ref, film, fischer, david, regisseur, lynchs, drehbuchautor, drehbuch, dunkle, seite, produzent, blue, seele, name, usd, mio., velvet, titel, zusammen
689;David Wark Griffith;21;person;David Wark Griffith, Filmregisseur, Filmproduzent, Oscarpreisträger, Stummfilmschauspieler, US-Amerikaner, Geboren 1875, Gestorben 1948, Mann;griffith, film, kategorie, filmgeschichte, nation, hollywood, filme, wark, griffiths, david, drehte, ersten, biograph, geburt, united, artists, wegen, häufig, kentucky, schauspieler
704;David Arquette;15;person;Filmschauspieler, US-Amerikaner, Geboren 1971, Mann, WCW World Heavyweight Champion;arquette, david, scream, fernsehserie, wcw, kategorie, courteney, bekannt, wrestling, world, heavyweight, champion, never, time, schauspieler, cox, friends, trennung, regisseur, ready
705;Danny DeVito;15;person;Filmschauspieler, Filmproduzent, Filmregisseur, US-Amerikaner, Geboren 1944, Mann, Golden-Globe-Preisträger;kategorie, devito, hoffa, fernsehserie, michael, jimmy, bester, nebendarsteller, goldene, douglas, taxi, jagd, zug, rosenkrieg, erin, brockovich, film, walk, folge, stimme
706;Dennis Hopper;18;person;Filmschauspieler, Filmregisseur, Fotokünstler, Künstler (Vereinigte Staaten), US-Amerikaner, Geboren 1936, Gestorben 2010, Mann;hopper, rider, easy, kategorie, dennis, film, ref, regisseur, hollywood, jahren, moca, los, angeles, september, schauspieler, speed, ersten, fonda, new, zeit
708;Dave Brubeck;9;person;Jazz-Pianist, Komponist (Kirchenmusik), Komponist (Third Stream), Bandleader, Grammy-Preisträger, Schüler von Arnold Schönberg, Person im Zweiten Weltkrieg (Vereinigte Staaten), Militärperson (United States Army), Mitglied der American Academy of Arts and Sciences, Ehrendoktor der Universität Freiburg (Schweiz), Ehrendoktor der Universität Duisburg-Essen, Person als Namensgeber für einen Asteroiden, US-Amerikaner, Geboren 1920, Gestorben 2012, Mann;brubeck, dave, quartet, kategorie, jazz, desmond, time, new, quartett, york, college, paul, solo, piano, musik, universität, plays, dezember, brubecks, klavier
714;Douglas Coupland;15;person;Autor, Bildhauer (Kanada), Drehbuchautor, Literatur (20. Jahrhundert), Literatur (21. Jahrhundert), Literatur (Englisch), Kanadische Literatur, Science-Fiction-Literatur, Roman, Epik, Kurzgeschichte, Erzählung, Essay, Biografie, Officer des Order of Canada, Träger des Order of British Columbia, Kanadier, Geboren 1961, Mann;coupland, generation, kategorie, douglas, deutsch, isbn, übersetzt, roman, god, ref, life, after, vancouver, harald, leben, canada, tina, hohl, hoffmann, campe
715;Douglas Adams;12;person;Douglas Adams, Autor, Literatur (20. Jahrhundert), Literatur (Englisch), Literatur (Vereinigtes Königreich), Roman, Epik, Science-Fiction-Literatur, Science Fiction Hall of Fame, Satire, Vertreter des Atheismus, Engländer, Brite, Geboren 1952, Gestorben 2001, Mann;adams, isbn, douglas, deutsch, übersetzt, anhalter, doctor, kategorie, galaxis, who, john, per, guide, galaxy, ersten, hörbuch, utterly, fiction, benjamin, schwarz
716;Demokrit;15;person;Atomist, Vorsokratiker, Erkenntnistheoretiker, Physiker (vor dem 16. Jahrhundert), Universalgelehrter, Person als Namensgeber für einen Asteroiden, Namensgeber für einen Mondkrater, Grieche (Antike), Geboren im 5. Jahrhundert v. Chr., Gestorben im 4. Jahrhundert v. Chr., Mann;demokrit, atome, kategorie, demokrits, isbn, hrsg, seele, schriften, dinge, bewegung, jahrhundert, abdera, chr., leukipp, antike, aristoteles, band, körper, philosophie, leben
722;Domitian;9;person;Kaiser (Rom), Herrscher (1. Jahrhundert), Zensor, Augur, Flavier, Geboren 51, Gestorben 96, Mann, Titus;domitian, kaiser, isbn, domitians, senat, rom, titus, römischen, beiden, jones, sowie, kaisers, kategorie, jahr, flavier, domitianbild, herrschaft, ließ, militärische, tacitus
778;Daphne du Maurier;9;person;Autor, Sachbuchautor, Literatur (20. Jahrhundert), Literatur (Englisch), Literatur (Vereinigtes Königreich), Historischer Roman, Kurzgeschichte, Erzählung, Roman, Epik, Essay, Biografie, Dame Commander des Order of the British Empire, Person (Cornwall), Brite, Engländer, Geboren 1907, Gestorben 1989, Frau, Daphne du Maurier;roman, kategorie, regie, maurier, isbn, rebecca, daphne, cornwall, kurzgeschichte, rachel, alfred, hitchcock, literatur, übersetzt, brigitte, verlag, englisch, london, vögel, englischen
801;Douglas Sirk;21;person;Filmregisseur, Träger des Deutschen Filmpreises, Theaterregisseur, Deutscher Emigrant in den Vereinigten Staaten, Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus, US-Amerikaner, Person (Hamburg), Person (Lugano), Deutscher, Schweizer, Geboren 1897, Gestorben 1987, Mann;sirk, sierck, film, kategorie, deutschland, hamburg, zeit, douglas, leben, filme, lugano, detlef, drehte, ging, regie, inszenierte, ersten, regisseur, deutschen, gesellschaft
812;Donald E. Knuth;12;person;Informatiker, Hochschullehrer (Stanford University), Hochschullehrer (California Institute of Technology), TeX, Kyoto-Preisträger, Turing-Preisträger, Mathematiker (20. Jahrhundert), Mathematikhistoriker, Entwickler Freier Software, Mitglied der Académie des sciences, Mitglied der Norwegischen Akademie der Wissenschaften, Mitglied der National Academy of Sciences, Mitglied der American Academy of Arts and Sciences, Mitglied der American Philosophical Society, Mitglied der National Academy of Engineering, Mitglied der Bayerischen Akademie der Wissenschaften, Auswärtiges Mitglied der Royal Society, Fellow der American Mathematical Society, Ehrendoktor der Eberhard Karls Universität Tübingen, Ehrendoktor der ETH Zürich, Ehrendoktor der University of Glasgow, Träger der National Medal of Science, Person (Milwaukee), US-Amerikaner, Geboren 1938, Mann;kategorie, knuth, computer, mitglied, donald, stanford, isbn, programming, award, art, addison-wesley, professor, university, tex, american, clsi, society, academy, computers, typesetting
827;Diogenes von Sinope;6;person;Kyniker, Grieche (Antike), Philosoph (Antike), Geboren im 5. oder 4. Jahrhundert v. Chr., Gestorben im 4. Jahrhundert v. Chr., Mann;diogenes, isbn, sinope, laertios, platon, chr., anekdoten, sei, philosophen, hrsg, band, korinth, antiken, schriften, leben, jahrhundert, athen, allerdings, zeit, philosophie
